timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.63608E+12,1207,Get HTTP Request,200,,GET Customer Group 5-19,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,1207,0,810
1.63608E+12,393,Get HTTP Request,200,,GET Staff Group 3-6,text,TRUE,,876,139,20,260,https://ice-factory-api.herokuapp.com/staff,393,0,0
1.63608E+12,269,Get HTTP Request,200,,GET Owner Group 1-5,text,TRUE,,221,139,20,260,https://ice-factory-api.herokuapp.com/owner,269,0,0
1.63608E+12,1207,Post HTTP Request,200,,POST Customer Group 6-19,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,1207,0,804
1.63608E+12,401,Get HTTP Request,200,,GET Owner Group 1-12,text,TRUE,,221,139,20,260,https://ice-factory-api.herokuapp.com/owner,401,0,0
1.63608E+12,400,Post HTTP Request,200,,POST Owner Group 2-12,text,TRUE,,219,230,20,260,https://ice-factory-api.herokuapp.com/owner,400,0,0
1.63608E+12,436,Get HTTP Request,200,,GET OrderItem Group 11-15,text,TRUE,,11522,143,20,260,https://ice-factory-api.herokuapp.com/orderItem,436,0,0
1.63608E+12,395,Post HTTP Request,200,,POST Product Group 8-4,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,395,0,0
1.63608E+12,1208,Post HTTP Request,200,,POST Product Group 8-19,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,1208,0,805
1.63608E+12,343,Get HTTP Request,200,,GET OrderItem Group 11-8,text,TRUE,,11522,143,20,260,https://ice-factory-api.herokuapp.com/orderItem,343,0,0
1.63608E+12,457,Get HTTP Request,200,,GET CustomerOrder Group 9-10,text,TRUE,,20696,147,20,260,https://ice-factory-api.herokuapp.com/customerOrder,446,0,0
1.63608E+12,1203,Post HTTP Request,200,,POST Bill Group 13-19,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,1203,0,802
1.63608E+12,407,Post HTTP Request,200,,POST Bill Group 13-11,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,407,0,0
1.63608E+12,268,Post HTTP Request,200,,POST Product Group 8-7,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,268,0,0
1.63608E+12,420,Get HTTP Request,200,,GET Bill Group 12-9,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,419,0,0
1.63608E+12,269,Get HTTP Request,200,,GET Product Group 7-5,text,TRUE,,651,141,20,260,https://ice-factory-api.herokuapp.com/product,269,0,0
1.63608E+12,603,Post HTTP Request,200,,POST CustomerOrder Group 10-8,text,TRUE,,1145,1164,20,260,https://ice-factory-api.herokuapp.com/customerOrder,603,0,0
1.63608E+12,416,Post HTTP Request,200,,POST Bill Group 13-5,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,416,0,0
1.63608E+12,276,Post HTTP Request,200,,POST Customer Group 6-9,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,276,0,0
1.63608E+12,413,Post HTTP Request,200,,POST Bill Group 13-6,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,412,0,0
1.63608E+12,413,Get HTTP Request,200,,GET Staff Group 3-16,text,TRUE,,876,139,20,260,https://ice-factory-api.herokuapp.com/staff,413,0,0
1.63608E+12,412,Get HTTP Request,200,,GET Owner Group 1-16,text,TRUE,,221,139,20,260,https://ice-factory-api.herokuapp.com/owner,411,0,0
1.63608E+12,295,Post HTTP Request,200,,POST Bill Group 13-7,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,295,0,0
1.63608E+12,277,Post HTTP Request,200,,POST Bill Group 13-8,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,277,0,0
1.63608E+12,396,Post HTTP Request,200,,POST Customer Group 6-13,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,396,0,0
1.63608E+12,395,Get HTTP Request,200,,GET Customer Group 5-16,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,395,0,0
1.63608E+12,275,Post HTTP Request,200,,POST Customer Group 6-6,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,275,0,0
1.63608E+12,462,Get HTTP Request,200,,GET Bill Group 12-11,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,462,0,0
1.63608E+12,297,Post HTTP Request,200,,POST CustomerOrder Group 10-5,text,TRUE,,1145,1164,20,260,https://ice-factory-api.herokuapp.com/customerOrder,297,0,0
1.63608E+12,413,Post HTTP Request,200,,POST Staff Group 4-16,text,TRUE,,407,419,20,260,https://ice-factory-api.herokuapp.com/staff,413,0,0
1.63608E+12,419,Post HTTP Request,200,,POST Product Group 8-16,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,419,0,0
1.63608E+12,1475,Get HTTP Request,200,,GET CustomerOrder Group 9-17,text,TRUE,,20696,147,20,260,https://ice-factory-api.herokuapp.com/customerOrder,1213,0,793
